                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.0216,                 8.5748,                 5.0757,                0.13108,                 0.8694,                0.99991,                      1,                  0.995,                  0.995,                0.70545,                0.70551,                0.62393,                0.26549,                 0.0417,                 5.9544,                 5.1966,                0.19767,                0.57026,               0.005512,               0.005512,               0.005512
                     71,                0.02175,                 8.5516,                 5.1169,                0.13225,                0.86865,                0.99991,                      1,                  0.995,                  0.995,                0.70703,                0.70709,                0.63266,                0.26691,                0.04216,                 5.9419,                 5.1543,                0.19945,                0.57193,               0.005446,               0.005446,               0.005446
                     72,                0.02186,                 8.5902,                  5.027,                0.13109,                0.86954,                0.99991,                      1,                  0.995,                  0.995,                0.71332,                0.71339,                0.63699,                0.26892,                0.04197,                 5.9383,                 5.1463,                0.19907,                0.57083,                0.00538,                0.00538,                0.00538
                     73,                0.02127,                 8.5591,                 5.0225,                0.12804,                0.87091,                0.99991,                      1,                  0.995,                0.99499,                0.70545,                0.70551,                0.63386,                0.27089,                0.04164,                 5.9206,                 5.1368,                0.19583,                 0.5687,               0.005314,               0.005314,               0.005314
                     74,                0.02118,                 8.4607,                 4.9251,                0.12729,                0.86782,                0.99991,                      1,                  0.995,                0.99499,                0.71017,                0.71024,                0.63808,                0.26702,                0.04151,                 5.9283,                 5.1149,                0.19776,                0.56863,               0.005248,               0.005248,               0.005248
                     75,                0.02108,                 8.4421,                   4.89,                0.12883,                0.86959,                0.99991,                      1,                  0.995,                0.99499,                0.71491,                0.71496,                0.64115,                0.27054,                0.04123,                  5.929,                 5.1108,                0.20035,                0.56711,               0.005182,               0.005182,               0.005182
                     76,                0.02106,                  8.456,                 4.8652,                0.12999,                0.86958,                0.99992,                      1,                  0.995,                0.99499,                0.70862,                0.70866,                0.63061,                0.26583,                0.04129,                 5.9075,                 5.1034,                0.19788,                0.56766,               0.005116,               0.005116,               0.005116
                     77,                0.02116,                 8.4243,                 4.9169,                0.12977,                0.86858,                0.99992,                      1,                  0.995,                0.99499,                0.71806,                0.71811,                0.63326,                0.26632,                 0.0413,                 5.9017,                 5.1027,                0.19807,                0.56826,                0.00505,                0.00505,                0.00505
                     78,                0.02094,                 8.3036,                  4.839,                0.12687,                0.86573,                0.99992,                      1,                  0.995,                0.99499,                0.71806,                0.71811,                 0.6351,                0.26601,                0.04125,                 5.9031,                 5.1203,                0.20031,                0.56803,               0.004984,               0.004984,               0.004984
                     79,                0.02068,                 8.3109,                 4.8439,                0.12834,                0.86909,                0.99992,                      1,                  0.995,                0.99499,                0.71491,                0.71496,                0.63477,                0.26974,                 0.0411,                 5.8945,                 5.1124,                0.19793,                 0.5675,               0.004918,               0.004918,               0.004918
                     80,                0.02032,                  8.347,                  4.866,                0.12385,                0.86854,                0.99992,                      1,                  0.995,                0.99498,                0.71334,                0.71339,                0.63625,                0.27198,                0.04083,                 5.9024,                 5.1163,                0.19509,                0.56619,               0.004852,               0.004852,               0.004852
                     81,                0.02056,                 8.3036,                 4.7935,                0.12677,                0.86847,                0.99992,                      1,                  0.995,                0.99499,                0.70545,                0.70551,                0.63796,                 0.2764,                0.04077,                 5.8881,                 5.1339,                0.19165,                0.56594,               0.004786,               0.004786,               0.004786
                     82,                0.02037,                 8.2207,                 4.7234,                0.12411,                0.86866,                0.99991,                      1,                  0.995,                0.99499,                0.71175,                0.71181,                0.64693,                0.27681,                0.04029,                 5.8778,                 5.1414,                0.18856,                0.56349,                0.00472,                0.00472,                0.00472
                     83,                 0.0201,                 8.2715,                 4.8401,                0.12186,                0.86922,                0.99992,                      1,                  0.995,                0.99499,                 0.7149,                0.71496,                0.65282,                0.28015,                0.04024,                 5.8644,                 5.1284,                0.18786,                0.56338,               0.004654,               0.004654,               0.004654
                     84,                0.02009,                 8.2497,                 4.8082,                0.12571,                0.86948,                0.99992,                      1,                  0.995,                0.99499,                0.71805,                0.71811,                 0.6496,                0.27915,                 0.0401,                 5.8361,                 5.1265,                0.18928,                0.56255,               0.004588,               0.004588,               0.004588
                     85,                0.02057,                 8.1635,                 4.7553,                0.12496,                0.87218,                0.99992,                      1,                  0.995,                0.99499,                0.71648,                0.71654,                0.65019,                0.28093,                0.04012,                 5.8145,                 5.1416,                0.18918,                0.56299,               0.004522,               0.004522,               0.004522
                     86,                0.01995,                  8.085,                 4.7538,                0.12224,                0.86667,                0.99992,                      1,                  0.995,                0.99498,                 0.7212,                0.72126,                0.65535,                0.28054,                0.04008,                 5.7911,                  5.158,                0.19107,                  0.563,               0.004456,               0.004456,               0.004456
                     87,                0.01991,                 8.1246,                 4.7642,                0.12398,                0.86803,                0.99992,                      1,                  0.995,                0.99498,                 0.7212,                0.72126,                0.65443,                0.28402,                0.03988,                 5.7824,                 5.1788,                0.19124,                0.56239,                0.00439,                0.00439,                0.00439
                     88,                0.01993,                 8.0585,                 4.6526,                0.12401,                0.86576,                0.99992,                      1,                  0.995,                0.99498,                0.71963,                0.71969,                0.65387,                0.28574,                0.03989,                  5.778,                 5.1924,                0.19108,                0.56256,               0.004324,               0.004324,               0.004324
                     89,                0.01975,                 8.1062,                 4.6536,                 0.1227,                0.86956,                0.99992,                      1,                  0.995,                0.99499,                0.72435,                0.72441,                0.65413,                0.28363,                0.03993,                 5.7732,                 5.1951,                0.19075,                0.56268,               0.004258,               0.004258,               0.004258
